Frame Number, Location X, Location Y, Rotation
1611, 1166.619978, 438.394358, -172.812851
1612, 1165.79442, 438.301474, -172.721588
1613, 1164.952687, 438.204209, -172.638214
1614, 1164.079069, 438.100846, -172.565582
1615, 1163.168342, 437.990817, -172.50473
1616, 1162.213853, 437.873358, -172.454773
1617, 1161.240157, 437.751646, -172.415085
1618, 1160.223879, 437.622882, -172.384811
1619, 1159.202, 437.491956, -172.362579
1620, 1158.139665, 437.354553, -172.347321
1621, 1157.069279, 437.21504, -172.337997
1622, 1155.90221, 437.061905, -172.333817
1623, 1154.650826, 436.896793, -172.333939
1624, 1153.408104, 436.73214, -172.337631
1625, 1152.124055, 436.561471, -172.344513
1626, 1150.832454, 436.38941, -172.353607
1627, 1149.514228, 436.21353, -172.364716
1628, 1148.122037, 436.027603, -172.37738
1629, 1146.742208, 435.843252, -172.391495
1630, 1145.305834, 435.651353, -172.406601
1631, 1143.817506, 435.452598, -172.422653
1632, 1142.240382, 435.242151, -172.439514
1633, 1140.609346, 435.024746, -172.456863
1634, 1138.940736, 434.802628, -172.474777
1635, 1137.300195, 434.584571, -172.493149
1636, 1135.598229, 434.358731, -172.511978
1637, 1133.825896, 434.123995, -172.531555
1638, 1132.018598, 433.885113, -172.551834
1639, 1130.204431, 433.645829, -172.572571
1640, 1128.323149, 433.398262, -172.593994
1641, 1126.47592, 433.155748, -172.615799
1642, 1124.601628, 432.9103, -172.638
1643, 1122.656848, 432.656311, -172.66069
1644, 1120.736494, 432.406202, -172.683792
1645, 1118.864004, 432.163002, -172.707962
1646, 1116.98326, 431.919436, -172.73262
1647, 1115.084959, 431.674338, -172.758514
1648, 1113.158914, 431.426448, -172.785706
1649, 1111.35192, 431.194601, -172.81398
1650, 1109.474282, 430.954505, -172.843552
1651, 1107.526999, 430.706413, -172.87468
1652, 1105.698032, 430.474229, -172.907425
1653, 1103.842723, 430.239604, -172.941971
1654, 1101.951709, 430.001445, -172.978271
1655, 1100.009364, 429.757908, -173.016312
1656, 1098.08346, 429.517543, -173.05571
1657, 1096.22052, 429.286119, -173.096405
1658, 1094.313426, 429.050399, -173.138245
1659, 1092.455534, 428.821929, -173.18132
1660, 1090.609099, 428.59607, -173.225311
1661, 1088.73175, 428.367719, -173.270248
1662, 1086.840902, 428.139073, -173.316483
1663, 1084.915779, 427.907719, -173.363983
1664, 1082.996961, 427.678586, -173.412704
1665, 1081.024448, 427.444625, -173.463425
1666, 1079.153816, 427.224209, -173.515503
1667, 1077.293265, 427.006476, -173.56897
1668, 1075.410183, 426.787688, -173.623734
1669, 1073.505121, 426.568014, -173.680008
1670, 1071.622374, 426.352585, -173.738724
1671, 1069.735414, 426.138408, -173.799881
1672, 1067.823806, 425.923274, -173.867065
1673, 1065.965441, 425.71595, -173.944351
1674, 1063.996675, 425.498503, -174.032242
1675, 1062.063283, 425.287246, -174.135147
1676, 1060.150748, 425.080741, -174.252869
1677, 1058.267964, 424.880129, -174.384644
1678, 1056.38017, 424.682008, -174.529968
1679, 1054.430449, 424.480984, -174.687958
1680, 1052.611071, 424.296851, -174.858856
1681, 1050.695186, 424.107191, -175.043228
1682, 1048.760939, 423.920425, -175.239548
1683, 1046.848743, 423.740774, -175.446457
1684, 1044.978032, 423.570157, -175.662033
1685, 1043.061136, 423.401107, -175.884933
1686, 1041.098794, 423.234451, -176.114304
1687, 1039.151545, 423.075671, -176.349228
1688, 1037.24365, 422.9267, -176.588745
1689, 1035.291444, 422.781458, -176.832367
1690, 1033.333274, 422.643227, -177.07991
1691, 1031.436833, 422.516541, -177.330826
1692, 1029.513652, 422.395678, -177.584595
1693, 1027.604504, 422.283376, -177.841049
1694, 1025.694601, 422.178881, -178.099747
1695, 1023.751032, 422.080826, -178.361145
1696, 1021.837274, 421.992415, -178.624374
1697, 1019.885956, 421.910858, -178.889328
1698, 1017.949737, 421.838471, -179.156006
1699, 1016.008326, 421.774563, -179.42392
1700, 1014.093788, 421.720055, -179.692963
1701, 1012.152746, 421.673632, -179.963165
1702, 1010.178561, 421.635619, 179.765503
